National Database Number,Field Number,Nmfs Regional Number,Common Name,Genus,Species,Report Status,Examiner Name,Affiliation,Stranding Agreement/Authority,Region,City - from strandings table,County,State,Body of Water,Locality Detail,Latitude,Latitude Units,Latitude Actual/Estimate,Longitude,Longitude Actual/Estimate,How lat/long determined,Restrand,Findings of Human Interaction,Observation Date,Year of Observation,Month of Observation,Day of Observation,How Observed,Observation Date Act/Est,Observation Status,Not Able to Examine,Date of Examination,Year of Examination,Month of Examination,Day of Examination,Condition at Examination,Left at Site,Sex,Age Class,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Necropsied Flag,Necropsy Limited Flag,Necropy Carcass Fresh/Frozen,Date of Necropsy,Year of Necropsy,Month of Necropsy,Day of Necropsy,Stranding Necropsied By,Additional Remarks,Additional Identifiers
NW-2015-1181063,CRC-1513,15NWR12003,"Whale, humpback",Megaptera,novaeangliae,Validated,John Calambokidis,Cascadia Research,Cascadia Research,NW,Gig Harbor,Pierce,WA,Puget Sound,0.6 mi N of mouth of harbor,47.334,dd.dddd,actual,_122.5676,actual,GPS,N,Y,2015-DEC-20,2015,DEC,20,Beach or Land,,Fresh Dead,N,2015-DEC-22,2015,DEC,22,Fresh Dead,N,FEMALE,YEARLING,705,cm,actual,10080,lb,actual,Y,limited,fresh,2015-DEC-26,2015,DEC,26,CRC/WDFW,a whale was reported floating S of the mouth of Gig Harbor on the 19th but there was no contact information for follow up. Likely the same whale.,
NW-2010-1132537,WDFW2010-091,10NWR07199,"Dolphin, bottlenose",Tursiops,truncatus,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,Steilacoom,Pierce,WA,Puget Sound,~1/4 mile North of Sunnyside Beach,47.1833,dd.dddd,,_122.5853,,GPS,N,CBD,2010-JUL-18,2010,JUL,18,Beach or Land,,Moderate Decomposition,N,2010-JUL-18,2010,JUL,18,Moderate Decomposition,N,FEMALE,ADULT,300,cm,Estimated,250,kg,Estimated,Y,Limited,Fresh,2010-JUL-18,2010,JUL,18,WDFW/MMI,Found dead wedged between rocks in hightide near train tracks.,WDFW2010-091
NW-2008-1078005,CRC-838,08NWR04005,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Hansville,Kitsap,WA,Puget Sound,E side Driftwood Key,47.9024,dd.dddd,,_122.5864,,GPS,N,CBD,2008-APR-14,2008,APR,14,Beach or Land,,Fresh Dead,N,2008-APR-15,2008,APR,15,Fresh Dead,N,UNKNOWN,YEARLING,111,cm,Actual,45,lb,Actual,Y,,,,,,,CRC,,CRC-838
NW-2013-1152469,WDFW2013-006,13NWR01026,"Whale, gray",Eschrichtius,robustus,Validated,Steve Jeffries,WDFW/MMI,WDFW/MMI,NW,Bremerton,Kitsap,WA,Puget Sound,Naval Base Kitsap,47.567,dd.dddd,estimate,_122.6,estimate,Internet/Software,N,CBD,2013-JAN-19,2013,JAN,19,Floating,,Fresh Dead,N,2013-JAN-19,2013,JAN,19,Fresh Dead,N,MALE,SUBADULT,884,cm,actual,,,,Y,complete,fresh,2013-JAN-23,2013,JAN,23,WDFW/MMI and CRC,"First reported dead on 19-Jan-13 in the Naval Shipyard. Towed to a bay in St. Clair inlet, then towed to Manchester for necropsy on 23-Jan-13. Probably been the same animal that was reported live in the Foss Waterway on 15-Jan-13. also for the last coup",WDFW2013-006
NW-2014-1194939,14Pp28SepWI-11,14NWR09125,"Porpoise, harbor",Phocoena,phocoena,Validated,Sandy Dubpernell,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Whidbey Island,Island,WA,Pacific Ocean,Bush Point,48.032,decimal degrees,estimate,_122.605,estimate,Internet,N,CBD,2014-SEP-28,2014,SEP,28,Beach or Land,,Fresh Dead,N,2014-SEP-28,2014,SEP,28,Fresh Dead,N,MALE,PUP/CALF,115.5,cm,actual,27,kg,actual,Y,complete,frozen,2016-APR-15,2016,APR,15,Norman et al.,"The carcass was picked up and frozen . No Level A measurements, gender determination or description was done at that time. All details recorded at necropsy when the level A was written. Full necropsy performed on 4/15/17. Male, calf of the year, Good nutritional condition. Close observation of the carcass revealed extensive marks from entanglement in fishing gear- hence fisheries interaction. The skull and mandibles were fractured, presumably from the animal trying to free itself from the net. A full set of tissue samples wee taken for histopathology. The flippers, scapulae and mandibles were frozen for transfer to Dr. Stephen Trumble at Baylor University for his DEXA study.",
NW-2013-1153324,CRC-1321,13NWR10028,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Poulsbo,Kitsap,WA,,Salsbury Point park,47.856,dd.dddd,,_122.607,,,N,Y,2013-OCT-25,2013,OCT,25,Beach or Land,,Fresh Dead,Y,,,,,Fresh Dead,N,UNKNOWN,ADULT,150,cm,estimate,,,,N,,,,,,,,"Incident seen on 25 Oct, not reported until 28 Oct. Unauthorized member of public removed animal from the beach.",
NW-2012-1145554,12Pp03SepWI-10,12NWR09022,"Porpoise, harbor",Phocoena,phocoena,Validated,Sandy Dubpernell,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Whidbey Island,Island,WA,Pacific Ocean,"Admiralty Inlet, 200 yards north of Ledgewood Beach/Seacrest",48.15181,decimal degrees,actual,_122.60941,actual,GPS,N,CBD,2012-SEP-03,2012,SEP,3,Beach or Land,,Fresh Dead,N,2012-SEP-03,2012,SEP,3,Fresh Dead,N,FEMALE,PUP/CALF,92,cm,actual,70,kg,estimate,Y,limited,fresh,2011-SEP-03,2011,SEP,3,S. Dubpernell in situ,"The porpoise calf was lying on its right side. The left eye was gone with a ""peck hole"" adjacent to it. No other injuries were noted except for a rash of small srape marks on its left (exposed) side. The right side of the carcass was unmarked. Responder took a few samples including blubber for dioxin testing. Lateral blubber and ventral blubber measured 1.6 cm. The calf appeared to be in good nutritional condition. Tooth buds only. Sampled heart, lung, liver and kidney. Tissues frozen in Whirl Paks and collected in formalin for histopathology. Fluke width: 21.4 cm, height of dorsal fin 7.9 cm, length of carcass 92 cm, weight estimated at 70 kg. Lung showed yellowish mottles on the surface and was exuding whitish frothy bubbles.",
NW-2016-1193078,16Pp29MayWI-01,16NWR05081,"Porpoise, harbor",Phocoena,phocoena,Validated,Sandy Dubpernell,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Whidbey Island,Island,WA,Pacific Ocean,"on beach at Lagoon Point, Greenbank, by 3834 Oceanside Drive, Admiralty Inlet.",49.07861,decimal degrees,actual,_122.61156,actual,GPS,N,CBD,2016-MAY-19,2016,MAY,19,Beach or Land,,Fresh Dead,N,2016-MAY-29,2016,MAY,29,Fresh Dead,N,UNKNOWN,ADULT,60,in,estimate,130,lb,estimate,N,,,,,,,,"A harbor porpoise carcass was reported on the each at 3834 Oceanside Dr, Lagoon Point. SN volunteers found the carcass laying on its right side. The head was in good condition, but the left eye was sunken. The carcass was scavenged on the left side from the dorsal fin caudally for several inches with the skin pulled back. Edges of the wound were ""serrated"" from probable scavenging by eagles. The rest of the body appeared to be in good condition. The carcass was collected and frozen in Freeland for eventual necropsy. All measurements will be completed at that time.",
NW-2009-1104271,WDFW2009-115,09NWR10036,"Porpoise, harbor",Phocoena,phocoena,Validated,Josh Oliver,WDFW/MMI,WDFW/MMI,NW,,Kitsap,WA,Hood Canal,SE side Hood Canal Bridge,47.8535,dd.dddd,,_122.6161,,Internet/Software,N,Y,2009-OCT-20,2009,OCT,20,Floating,,Fresh Dead,N,2009-OCT-21,2009,OCT,21,Fresh Dead,N,FEMALE,PUP/CALF,109,cm,Actual,24.5,kg,Actual,Y,Complete,Fresh,2009-OCT-21,2009,OCT,21,WDFW/MMI,Found dead floating on SE side Hood Canal Bridge. Both tribal and non-tribal commercial fisheries occurring in area; gill nets active in Area 8 until 23-Oct-09. DOT secured animal until pick up. Used gaff to help secure carcass.,WDFW2009-115
NW-2015-1182256,WDFW2015-097,15NWR10064,"Porpoise, harbor",Phocoena,phocoena,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,Poulsbo,Kitsap,WA,Hood Canal,29900 Scenic Dr NE,47.8353,dd.dddd,estimate,_122.6266,estimate,Internet/Software,N,Y,2015-OCT-14,2015,OCT,14,Beach or Land,,Fresh Dead,N,2015-OCT-14,2015,OCT,14,Fresh Dead,N,MALE,ADULT,150,cm,actual,45,kg,actual,Y,complete,fresh,2015-OCT-15,2015,OCT,15,"WDFW/MMI, CRC",Information forwarded from special agent Hans Burbaker about dead porpoise on beach. RP sent pictures with large cut along abdomen with intestines/internal organs hanging out found animal ~830AM. Active fisheries occurring in area both tribal and all fish,WDFW2015-097
NW-2013-1154548,WDFW2013-108,13NWR10032,"Porpoise, harbor",Phocoena,phocoena,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,Purdy,Pierce,WA,Puget Sound,South side purdy spit mid by only Madrona,47.3817,dd.dddd,actual,_122.634,actual,Internet/Software,N,CBD,2013-OCT-29,2013,OCT,29,Beach or Land,,Moderate Decomposition,N,2013-OCT-30,2013,OCT,30,Moderate Decomposition,N,FEMALE,SUBADULT,122,cm,actual,35,kg,estimate,Y,limited,fresh,2013-OCT-30,2013,OCT,30,WDFW/MMI,Found dead on beach by RP seen the day before 10/28/13. Reported to CRC 10/29/13 and WDFW/ MMI DML responded 10/30/13. Carcass was examined and minimal sample taken.,WDFW2013-108
NW-2010-1132477,WDFW2010-181,10NWR10153,"Porpoise, harbor",Phocoena,phocoena,Validated,Josh Oliver,WDFW/MMI,WDFW/MMI,NW,Poulsbo,Kitsap,WA,Hood Canal,Just South of Kitsap Memorial State Park,47.8316,dd.dddd,,_122.6367,,Internet/Software,N,Y,2010-OCT-21,2010,OCT,21,Beach or Land,,Fresh Dead,N,2010-OCT-21,2010,OCT,21,Fresh Dead,N,FEMALE,SUBADULT,131,cm,Actual,37,kg,Actual,Y,Complete,Fresh,2010-OCT-22,2010,OCT,22,CRC,"Found dead South of Kitsap Memorial State Park, still in rigor at high tide mark; left eye scavenged and appeared to have entanglement marks but too dark at time of response to be sure.",WDFW2010-181
NW-2009-1104277,WDFW2009-118,09NWR10039,"Porpoise, harbor",Phocoena,phocoena,Validated,Josh Oliver,WDFW/MMI,WDFW/MMI,NW,,Jefferson,WA,Hood Canal,NW side of bridge,47.8649,dd.dddd,,_122.637,,Internet/Software,N,Y,2009-OCT-22,2009,OCT,22,Floating,,Fresh Dead,N,2009-OCT-22,2009,OCT,22,Fresh Dead,N,MALE,PUP/CALF,120,cm,Actual,30,kg,Actual,Y,Complete,Fresh,2009-OCT-22,2009,OCT,22,WDFW/MMI,Found floating dead off bridge. Lots of fishing in area for salmon. Tribal and non-tribal gillnets active in Area 8 until 23-Oct-09.,WDFW2009-118
NW-2014-1159521,14Pp10AugWI-05,14NWR08065,"Porpoise, harbor",Phocoena,phocoena,Validated,Sandy Dubpernell,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Whidbey Island,Island,WA,Pacific Ocean,"Admiralty Inlet, west corner of Admirals Cove at Keystone Way.",48.163894,decimal degrees,actual,_122.637882,actual,GPS,N,N,2014-AUG-10,2014,AUG,10,Beach or Land,,Fresh Dead,N,2014-AUG-10,2014,AUG,10,Fresh Dead,N,FEMALE,SUBADULT,104,cm,actual,220,kg,estimate,N,,,,,,,,"The stranding network received a call from NOAA Hotline at 2:38 pm August 10 with a report from Robert Phillips, 360-824-1614, reporting a dead baby pilot whale on the beach at Ebey's landing. Susan Berta spoke to Robert, the carcass is 3' long, black with a white belly, so likely a harbor porpoise. It is rolling at the edge of the surf right in front of the parking lot. (this location is actually near Admirals Cove, not Ebey's Landing.) One eye is pecked out, but otherwise fresh and unscavenged. Howard Garrett was in Coupeville at the time and he was called to pick up the carcass. Robert said he would wait until someone got there and would pull the carcass up the beach to keep it from washing away. Howard picked up the porpoise. It was a female, 40"" long, (104 cm) freshly deceased, one eyeball pecked out and multiple gravel scratches, otherwise in good shape. Carcass frozen for future necropsy.",Howard Garrett
NW-2009-1104433,WDFW2009-066,09NWR08059,"Whale, fin",Balaenoptera,physalus,Validated,Jessie Huggins,WDFW/MMI,WDFW/MMI,NW,Tacoma,Pierce,WA,Puget Sound,"Port of Tacoma/Blair Waterway, WA",47.2046,decimal degrees,,_122.642,,GPS,N,Y,2009-AUG-07,2009,AUG,7,Floating,,Fresh Dead,N,2009-AUG-07,2009,AUG,7,Fresh Dead,N,MALE,SUBADULT,1423,cm,actual,,,,Y,,,2009-AUG-08,2009,AUG,8,WDFW/MMI,"Was found floating in Blair Waterway on the morning of 07-August-2009. Port of Tacoma, WDFW, and CRC responded to assess situation. The fin whale was towed on Friday evening by DOC on McNeil Island. Good body condition and good post mortem condition allo",WDFW2009-066
NW-2015-1182262,WDFW2015-104,15NWR11039,"Porpoise, harbor",Phocoena,phocoena,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,Bremerton,Kitsap,WA,Puget Sound,Bridgeview marina 1805 Thompson Dr.,47.5793,dd.dddd,actual,_122.6463,actual,GPS,N,Y,2015-NOV-04,2015,NOV,4,Beach or Land,,Fresh Dead,N,2015-NOV-04,2015,NOV,4,Fresh Dead,N,FEMALE,ADULT,168,cm,actual,66,kg,actual,Y,complete,fresh,2015-NOV-05,2015,NOV,5,"WDFW/MMI, CRC","Reporting party saw 19' plastic runabout boat in the Bridgeview Marina in Bremerton on the morning of 4-Nov-15. Boat had been seen in the marina previously, most recently 2-Nov-15. Rp saw 2 men at approximately 9:30, possibly Native American and Hispanic",WDFW2015-104 NOAA Enf # I1503842 WDFW Enf # WA-15-010685
NW-2015-1182261,WDFW2015-103,15NWR11038,"Porpoise, harbor",Phocoena,phocoena,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,Bremerton,Kitsap,WA,Puget Sound,Bridgepoint Marina 1805 Thompson Dr,47.5793,decimal degrees,actual,_122.6463,actual,GPS,N,Y,2015-NOV-04,2015,NOV,4,Beach or Land,,Fresh Dead,N,2015-NOV-04,2015,NOV,4,Fresh Dead,N,FEMALE,ADULT,186,cm,actual,71,kg,actual,Y,complete,fresh,2015-NOV-05,2015,NOV,5,"WDFW/MMI, CRC","Reporting party saw 19' plastic runabout boat in the Bridgeview Marina in Bremerton on the morning of 4-Nov-15. Boat had been seen in the marina previously, most recently 2-Nov-15. Rp saw 2 men at approximately 9:30, possibly Native American and Hispanic",WDFW2015-103 NOA Enf # I1503842 WDFW Enf # WA-15-010685
NW-2015-1182260,WDFW2015-102,15NWR11037,"Porpoise, harbor",Phocoena,phocoena,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,Bremerton,Kitsap,WA,Puget Sound,Bridgeview Marina 1805 Thompson Dr.,47.5793,dd.dddd,actual,_122.6463,actual,GPS,N,Y,2015-NOV-04,2015,NOV,4,Beach or Land,,Fresh Dead,N,2015-NOV-04,2015,NOV,4,Fresh Dead,N,MALE,ADULT,159,cm,actual,51,kg,actual,Y,complete,fresh,2015-NOV-05,2015,NOV,5,"WDFW/MMI, CRC","NOAA Enf Case # I1503842 WDFW Enforcement Case # WA-15-010685. Reporting party saw 19' plastic runabout boat in the Bridgeview Marina in Bremerton on the morning of 4-Nov-15. Boat had been seen in the marina previously, most recently 2-Nov-15. Reporting",WDFW2015-102 NOAA Enf # I1503842 WDFW Enf # WA-15-010685
NW-2015-1177822,15Pp15OctWH-32,15NWR10014,"Porpoise, harbor",Phocoena,phocoena,Validated,Whatcom MMSN Volunteer,Whatcom Marine Mammal Stranding Network,Whatcom Co. MMSN,NW,Ferndale,Whatcom,WA,Pacific Ocean,Lummi Shore,48.774257,decimal degrees,actual,_122.6463903,actual,Internet,N,CBD,2015-OCT-15,2015,OCT,15,Beach or Land,,Fresh Dead,N,2015-OCT-15,2015,OCT,15,Fresh Dead,N,MALE,ADULT,66,in,actual,175,lb,actual,Y,,fresh,2015-OCT-15,2015,OCT,15,Alysha Elsby LVT,"Deceased possible F2 Hybrid Necropsy ? Harden Road, Ferndale, WA ? 10/15/15 Deceased hybrid was found outside of the residence 3556 Harnden Road, on the beach on 10/15/15. Gross External Examination: Carcass was found in lateral recumbency on the beach. Carcass intact in mint condition ? fresh dead. There were some abrasions on tail fluke from dragging on the rocks. Sex is Male. Gross Internal Examination: Performed necropsy in ventro-dorsal and Left lateral recumbency. Did not remove any ribs, only cut sternum to access heart. Nose: clear. Mouth: clear. Teeth: intact, adult and worn down Eyes: clear. Ears: clear. Mediastinum: intact. Lungs: intact, no signs of disease process. Heart: intact in pericardial sac. Diaphragm: intact. Liver: intact, no evidence of disease process. Stomach: empty, no evidence of disease process. Small Intestines: Full of gas, no evidence of disease process. Large Intestines/Colon: Full of gas, empty, no signs of disease process. Kidneys: intact, no evidence of disease processes. Testes: intact, no evidence of disease process. Penis: intact, no evidence of disease process. Rectum/Anus: intact, no evidence of disease process. Overall Condition: BCS 2.5/5. Cause of death: Undetermined. Samples sent off to the lab for testing. Skin samples sent to Vancouver for genetic analysis. Carcass on hold to be sent off to NMML for bone testing. Necropsy preformed by: Alysha Elsby, LVT. Sincerely, Alysha Elsby",
NW-2013-1152610,WDFW2013-020,13NWR03033,"Porpoise, harbor",Phocoena,phocoena,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,Poulsbo,Kitsap,WA,Hood Canal,28657 Shorebrook Dr/ Hood canal,47.8209,dd.dddd,estimate,_122.6505,estimate,Internet/Software,N,CBD,2013-MAR-24,2013,MAR,24,Beach or Land,,Fresh Dead,N,2013-MAR-25,2013,MAR,25,Fresh Dead,N,FEMALE,UNKNOWN,164,cm,actual,64,kg,actual,Y,complete,fresh,2013-MAR-26,2013,MAR,26,WDFW/MMI,Animal was reported to be seen dead on 24-Mar-13 at 5:30pm. RP pulled animal up the beach and secured overnight. WDFW picked up for necropsy the next day.,WDFW2013-020
NW-2007-1078163,WDFW1207-04,07NWR12060,"Porpoise, HYBRID",,,Validated,Dyanna Lambourn,WDFW/MMI,Washington Department of Fish and Wildlife,NW,Gig Harbor,Pierce,WA,Puget Sound,8814 Springbrook Lane,47.3749,dd.dddd,,_122.655,,GPS,N,N,2007-DEC-20,2007,DEC,20,Beach or Land,,Fresh Dead,N,2007-DEC-20,2007,DEC,20,Fresh Dead,N,MALE,ADULT,189,cm,Actual,98,kg,Actual,Y,complete,fresh,2007-DEC-21,2007,DEC,21,WDFW/CRC,Reported dead on beach. Tide coming in. DML responded and moved out of water and secured for a later pick-up. Dyanna and Jessie picked up at 14:30 on same day for necropsy the following morning.,1207-04
NW-2012-1145597,2012-SJ073,12NWR11002,"Porpoise, harbor",Phocoena,phocoena,Validated,Amy Traxler,Whale Museum,San Juan County Marine Mammal Stranding Network,NW,Lummi Island,San Juan,WA,Pacific Ocean,"Off Lummi Island, W side",48.6605,decimal degrees,actual,_122.6611,actual,GPS,N,Y,2012-NOV-01,2012,NOV,1,Beach or Land,,Fresh Dead,Y,,,,,,N,MALE,ADULT,0,cm,estimate,,,,N,,,,,,,,"A trained Stranding Network responder was working as a marine mammal observer on a fishing boat when this porpoise became entangled in a gill net. As an observer for WDFW, she was not allowed to touch the animal because of health concerns nor was she allowed to contact the local stranding network to pick up the carcass. The crew did allow her to take a few pictures, however to document the entanglement.",
NW-2016-1194937,16Pp29MayWI-01,16NWR05090,"Porpoise, harbor",Phocoena,phocoena,Validated,Sandy Dubpernell,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Whidbey island,Island,WA,Pacific Ocean,"Lagoon Point, by 3834 Oceanside Dr",49.07061,decimal degrees,actual,_122.66156,actual,GPS,N,N,2016-MAY-29,2016,MAY,29,Beach or Land,,Fresh Dead,N,2016-MAY-29,2016,MAY,29,Fresh Dead,N,MALE,ADULT,140.8,cm,actual,34,kg,actual,Y,complete,frozen,2017-APR-15,2017,APR,15,"Norman, et al","A harbor porpoise carcass was reported on the beach at 3834 Oceanside Dr. The carcass was lying on its right side. The head was in good condition, but the left eye was sunken. The carcass had been scavenged on the left side from the dorsal fin caudally for several inches down to the muscle layer. Edges of the wound were serrated indicating bird scavengers. The rest of the body appeared to be in good condition. The carcass was frozen until removed for necropsy on 4/15/17. A full necropsy was performed. The liver appeared to be highly abnormal.- many nodules covered with a fibrinous layer that peeled off. A full range of tissue samples were taken for histopathology and the entire remains of the liver frozen. Preliminary COD: cancer or fungal infection (?) The flippers, scapulae and mandible were frozen for transfer to S.Trumble at Baylor University for DEXA study.",
NW-2013-1152480,WDFW2013-025,13NWR04035,"Porpoise, harbor",Phocoena,phocoena,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,Gig Harbor,Pierce,WA,Puget Sound,9218 Driftwood Cove,47.3386,dd.dddd,estimate,_122.6624,estimate,Internet/Software,N,CBD,2013-APR-11,2013,APR,11,Beach or Land,,Moderate Decomposition,N,2013-APR-11,2013,APR,11,Moderate Decomposition,N,MALE,SUBADULT,129,cm,actual,35,kg,estimate,Y,complete,fresh,2013-APR-15,2013,APR,15,CRC,"According to next door neighbor, porpoise had been dead for at least 5 day, floating in Bay and stranded on beach.",WDFW2013-025
NW-2011-1141681,11-SK-020,11NWR07111,"Porpoise, harbor",Phocoena,phocoena,Validated,K. Wilkinson,NOAA Fisheries,NOAA Fisheries,NW,Sinclair Island,Skagit,WA,Pacific Ocean,Unknown location on Sinclair Island,48.61335,decimal degrees,estimate,_122.663447,estimate,Internet,N,CBD,2011-JUL-26,2011,JUL,26,Beach or Land,,Alive,Y,,,,,,N,UNKNOWN,SUBADULT,48,in,estimate,125,lb,estimate,NA,,,,,,,,"Reported to NOAA Fisheries by a member of the public, they came across a live harbor porpoise on their morning walk. They called me and while we were talking the animal went out with the incoming tide.",
NW-2015-1179524,WDFW2015-040,15NWR06059,"Porpoise, harbor",Phocoena,phocoena,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,Fox Island,Pierce,WA,Puget Sound,"126 Brickiln Rd., Fox Island",47.2674,dd.dddd,actual,_122.6643,actual,GPS,N,Y,2015-JUN-09,2015,JUN,9,Beach or Land,,Alive,N,2015-JUN-09,2015,JUN,9,Fresh Dead,N,MALE,SUBADULT,140,cm,actual,36,kg,actual,Y,complete,fresh,2015-JUN-10,2015,JUN,10,CRC,Rp- found porpoise on live on beach at 2PM. RP put porpoise back into water and animal swam out swimming listing to the left and was swimming in circles to eventually it ended up back on beach. Vocalizing. More attempts where made until one neighbor use,WDFW2015-040
NW-2011-1135838,11Pp15SepWI-03,11NWR09019,"Porpoise, harbor",Phocoena,phocoena,Validated,Sandy Dubpernell,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Whidbey Island,Island,WA,Pacific Ocean,on beach at Keystone Ferry Landing,48.15898,decimal degrees,actual,_122.67086,actual,GPS,N,CBD,2011-SEP-15,2011,SEP,15,Beach or Land,,Moderate Decomposition,N,2011-SEP-15,2011,SEP,15,Moderate Decomposition,N,UNKNOWN,PUP/CALF,60,cm,estimate,18,lb,estimate,N,,,,,,,,"While following up on a live seal pup report, SD found a portion of a harbor porpoise.The body had been removed anterior to the flippers and immediately posterior to the flippers, leaving only the 2 flippers and scapulae remaining held together by a strip of flesh. The small amount of blubber remaining measured approximately 1 cm thick. The flipper measured 10.2 cm long by 5.5 cm wide at the widest part,leaving examiner to believe this was a very young calf or possibly a neonate. The scapula measured 8.4 cm at the widest part. This was possibly a shark attack or one by transient orcas which had been reported in the area for several days. The remains were LAS",
NW-2015-1182063,15Pp09SepSK-31,15NWR09071,"Porpoise, harbor",Phocoena,phocoena,Validated,Whatcom MMSN Volunteer,Whatcom Marine Mammal Stranding Network,Whatcom Co. MMSN,NW,Cypress Island,Skagit,WA,Pacific Ocean,Rosario Straight,48.5103,decimal degrees,estimate,_122.673199,estimate,GPS,N,N,2015-SEP-09,2015,SEP,9,Beach or Land,,Fresh Dead,N,2015-SEP-09,2015,SEP,9,Fresh Dead,N,UNKNOWN,UNKNOWN,55,in,actual,,,,N,,,,,,,,,
NW-2007-1075015,CRC-827,07NWR10111,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Gig Harbor,Pierce,WA,Henderson Bay,down cliff behind homes on 102 Ave Ct NW,47.367,decimal degrees,,_122.6783,,GPS,N,Y,2007-OCT-29,2007,OCT,29,Beach or Land,,Moderate Decomposition,N,2007-OCT-30,2007,OCT,30,Moderate Decomposition,N,MALE,PUP/CALF,122,cm,Actual,,,,N,,,,,,,,"reported 29 Oct 07 but first seen on 26-Oct. Area where tribal fishing has been occuring, found in immediate area of CRC-826 (another harbor porpoise).",CRC-827
NW-2007-1075013,CRC-826,07NWR10110,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Gig Harbor,Pierce,WA,Henderson Bay,down cliff behind homes on 102 Ave Ct NW,47.3669,decimal degrees,,_122.6788,,GPS,N,Y,2007-OCT-29,2007,OCT,29,Beach or Land,,Moderate Decomposition,N,2007-OCT-30,2007,OCT,30,Moderate Decomposition,N,FEMALE,ADULT,170,cm,Actual,60,kg,Estimated,Y,,,2007-OCT-31,2007,OCT,31,CRC/WDFW,"reported 29 Oct 07 but first seen on 26-Oct. Area where tribal fishing has been occuring, found in immediate area of CRC-827 (another harbor porpoise).",CRC-826
NW-2015-1174031,15-SK-013,15NWR03015,"Porpoise, harbor",Phocoena,phocoena,Validated,Jeff Cox,Natural Resources Consultants,Natural Resources Consultants,NW,,Skagit,WA,Pacific Ocean,Sares Head (north Puget Sound),48.438633,decimal degrees,actual,_122.6791666,actual,GPS,N,Y,2015-MAR-06,2015,MAR,6,Floating,,Advanced Decomposition,N,2015-MAR-06,2015,MAR,6,Advanced Decomposition,N,UNKNOWN,UNKNOWN,0,in,estimate,,,,N,,,,,,,,,
NW-2012-1142551,12Pp21AprWI-02,12NWR04005,"Porpoise, harbor",Phocoena,phocoena,Validated,Sandy Dubpernell,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Whidbey Island,Island,WA,Pacific Ocean,"Coupeville, Penn Cove, Monroe Landing, 20 yards left of boat ramp",48.24068,decimal degrees,actual,_122.68089,actual,Internet,N,CBD,2012-APR-21,2012,APR,21,Floating,,Alive,N,2012-APR-21,2012,APR,21,Fresh Dead,N,MALE,SUBADULT,122,cm,actual,137.5,kg,actual,Y,complete,fresh,2012-APR-22,2012,APR,22,"Norman, et al","The report of a floating, live, injured harbor porpoise was made by Jonathan Stone on 4/21/12. The floater was located in Penn Cove approx. 20 yards left of the Monroe Landing boat ramp. The porpoise was alive with a large head wound. Matt Klope responded and found that a Sheriff's Deputy had just dispatched the porpoise with a 45 caliber bullet to the head. Matt collected the fresh carcass and kept it on ice until the necropsy the following day. Necropsy performed by Dr. Stephanie Norman et al, on 4/22/12. COD gunshot. Cause of wound unknown. The porpoise was young, approx 1-2 years old, 122 cm, male in good nutritional condition. A 26 cm x 12 cm (average) wound was located on the top of the head/neck down to the muscle layer. Microscopic examination of the jagged edge of the wound revealed two tiny shark teeth (dogfish?). It is believed that the extensive head injury was caused by something else (unknown) and that the shark predated on the open wound. Tissue samples were collected for histopathology.",Matt Klope
