County,National.Database.Number,Field.Number,HI,Nmfs.Regional.Number,Confidence.Code,Common.Name,Genus,Species,Report.Status,Examiner.Name,Affiliation,Stranding.Agreement.Authority,Region,Country,City,State,Body.of.Water,Locality.Detail,Latitude,Latitude.Units,Latitude.Actual.Estimate,Longitude,Longitude.Units,Longitude.Actual.Estimate,How.lat.long.determined,Restrand,Findings.of.Human.Interaction,Observation.Date,Year.of.Observation,Month.of.Observation,Day.of.Observation,How.Observed,Obs.Date.estimate.explaination,Observation.Date.Act.Est,Observation.Status,Not.Able.to.Examine,Date.of.Examination,Year.of.Examination,Month.of.Examination,Day.of.Examination,Condition.at.Examination,Left.at.Site,Sex,Age.Class,Length,Length.Units,Length.actual.estimate,Weight,Weight.Units,Date.of.Necropsy,Year.of.Necropsy,Month.of.Necropsy,Day.of.Necropsy,Stranding.Necropsied.By,Additional.Remarks,Cetacean.Common.Name,Water.Body,mean_lat,mean_long,Long_error,Lat_error,long_corr,lat_corr
Kitsap,NW-2008-1078005,CRC-838,,08NWR04005,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,United States,Hansville,WA,Puget Sound,E side Driftwood Key,47.90240,dd.dddd,NA,-122.5864,dd.dddd,NA,GPS,N,CBD,2008-APR-14,2008,APR,14,Beach or Land,NA,NA,Fresh Dead,N,2008-APR-15,2008,APR,15,Fresh Dead,N,Unid,Yearling,111,cm,Actual,45,lb,NA,NA,NA,NA,CRC,NA,Harbor porpoise,Inland_WA,8.80E+14,-2.22E+14,-222347.1873,87916.50703,-2.22E+14,8.80E+14
Pacific,NW-2008-1200389,PSU08-12-18-Pp,,08NWR12048,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Ready for Regional Validation,D. Duffield,Portland State University,Portland State University,NW,United States,Ocean Park,WA,Pacific Ocean,2 miles north of Bay Avenue access,46.52047,dd.dddd,actual,-124.0604,dd.dddd,actual,GPS,N,CBD,2008-DEC-18,2008,DEC,18,Beach or Land,NA,NA,Moderate Decomposition,N,2008-DEC-18,2008,DEC,18,Moderate Decomposition,N,Male,Subadult,114,cm,estimate,NA,NA,2009-FEB-07,2009,FEB,7,Duffield et al.,"no fluke (possibly bitten off), flippers, or dorsal fin; extensive external damage (lines, large abrasions); the porpoise had excellent body condition and a fatty layer around both lungs",Harbor porpoise,WA_Coast,4.65E+14,-1.24E+14,-0.002144013,-0.063406046,-12406043,4652047
Pacific,NW-2008-1135055,PSU08-08-19-Pp,,08NWR08186,Confirmed - High,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,United States,Long Beach,WA,Pacific Ocean,NA,46.35500,dd.dddd,NA,-124.0616,dd.dddd,NA,GPS,N,CBD,2008-AUG-19,2008,AUG,19,Beach or Land,NA,NA,Moderate Decomposition,N,2008-AUG-19,2008,AUG,19,Moderate Decomposition,N,Female,Calf,89.1,cm,actual,0,lb,2011-FEB-16,2011,FEB,16,Duffield et al,NA,Harbor porpoise,WA_Coast,4.65E+14,-1.24E+14,-0.000984013,0.102063954,-12406159,46355
Pacific,NW-2008-1200386,PSU08-07-07-Pp,,08NWR07126,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Ready for Regional Validation,D. Duffield,Portland State University,Portland State University,NW,United States,Long Beach,WA,Pacific Ocean,1.5 miles north of Cranberry Road access,46.41993,dd.dddd,estimate,-124.0607,dd.dddd,estimate,Internet,N,CBD,2008-JUL-07,2008,JUL,7,NA,NA,NA,Moderate Decomposition,N,2008-JUL-07,2008,JUL,7,Moderate Decomposition,N,Male,Calf,104.4,cm,actual,NA,NA,2010-MAY-22,2010,MAY,22,Duffield et al.,foam in trachea; rake marks (conspecific?) near dorsal fin; extensive hemorrhaging under right flipper; no significant lesions per histopathology,Harbor porpoise,WA_Coast,4.65E+14,-1.24E+14,-0.001904013,0.037133954,-12406067,4641993
Pacific,NW-2008-1081305,PSU08-04-24-Pp,,08NWR04023,Confirmed - Medium,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,"Hatfield Marine Science Center, OSU",NW,United States,Oysterville,WA,Pacific Ocean,2 miles north of Oysterville Approach,46.58248,dd.dddd,NA,-124.0676,dd.dddd,NA,GPS,N,CBD,2008-APR-24,2008,APR,24,Beach or Land,NA,NA,Moderate Decomposition,Y,NA,NA,NA,NA,NA,N,Unid,Unid,0,cm,estimate,0,lb,NA,NA,NA,NA,NA,NA,Harbor porpoise,WA_Coast,4.65E+14,-1.24E+14,0.005035987,-0.125416046,-12406761,4658248
Pacific,NW-2008-1081317,PSU08-05-27-Pp,,08NWR05054,Confirmed - Medium,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,United States,Ocean Park,WA,Pacific Ocean,south of Ocean Park approach,46.49127,dd.dddd,NA,-124.0578,dd.dddd,NA,GPS,N,CBD,2008-MAY-27,2008,MAY,27,Beach or Land,NA,NA,Advanced Decomposition,N,2008-MAY-28,2008,MAY,28,Advanced Decomposition,N,Male,Adult,146,cm,actual,0,lb,2008-MAY-29,2008,MAY,29,D. Duffield,NA,Harbor porpoise,WA_Coast,4.65E+14,-1.24E+14,-0.004744013,-0.034206046,-12405783,4649127
Pacific,NW-2008-1081311,PSU08-05-19-Pp,,08NWR05051,Confirmed - Medium,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,United States,Oysterville,WA,Pacific Ocean,0.6 miiles South of Oysterville access,46.53023,dd.dddd,NA,-124.0595,dd.dddd,NA,GPS,N,CBD,2008-MAY-19,2008,MAY,19,Beach or Land,NA,NA,Advanced Decomposition,N,2008-MAY-28,2008,MAY,28,Advanced Decomposition,N,Female,Adult,0,cm,estimate,0,lb,NA,NA,NA,NA,NA,NA,Harbor porpoise,WA_Coast,4.65E+14,-1.24E+14,-0.003074013,-0.073166046,-1240595,4653023
Pacific,NW-2008-1081207,CRC-858,,08NWR07062,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Bruce Kaufman,Cascadia Research,Cascadia Research,NW,United States,Long Beach,WA,Pacific Ocean,1/2 mile N of Bolstad Approach,46.35652,dd.dddd,NA,-124.0653,dd.dddd,NA,NA,N,CBD,2008-JUL-25,2008,JUL,25,Beach or Land,NA,NA,Fresh Dead,N,2008-JUL-25,2008,JUL,25,Fresh Dead,N,Male,Subadult,118,cm,Actual,22,kg,2008-JUL-27,2008,JUL,27,CRC/WDFW,"Bruce p/u and put in fridge, will hold until 28-Jul-08 when JLH can get it for necropsy.",Harbor porpoise,WA_Coast,4.65E+14,-1.24E+14,NA,NA,-1.24E+14,4.65E+14
San Juan,NW-2008-1084375,2008-SJ060,,08NWR10049,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Amy Traxler,Whale Museum,San Juan County Marine Mammal Stranding Network,NW,United States,San Juan Island,WA,Pacific Ocean,American Camp pocket beach,48.45139,dd.dddd,estimate,-123.0169,dd.dddd,estimate,Map,N,CBD,2008-OCT-27,2008,OCT,27,Beach or Land,NA,NA,Condition Unknown,N,2008-OCT-28,2008,OCT,28,Fresh Dead,N,Male,Subadult,116,cm,actual,NA,NA,2008-OCT-30,2008,OCT,30,J Gaydos,"This animal washed up in an area where a lot of purse-seining had recently been taking place. The animal was missing its left flipper, but it didn't seem like the flipper had been cut off.",Harbor porpoise,Inland_WA,4.85E+14,-1.23E+14,0.102742562,0.030047563,-123016944,48451389
San Juan,NW-2008-1084729,2008-SJ064,,08NWR12018,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Amy Traxler,Whale Museum,San Juan County Marine Mammal Stranding Network,NW,United States,San Juan Island,WA,Pacific Ocean,Cape San Juan - private beach,48.46121,dd.dddd,NA,-122.9658,dd.dddd,NA,NA,N,CBD,2008-DEC-26,2008,DEC,26,Beach or Land,NA,NA,Fresh Dead,N,2008-DEC-30,2008,DEC,30,Fresh Dead,N,Female,Calf,95,cm,actual,NA,NA,2008-DEC-30,2008,DEC,30,J Gaydos,NA,Harbor porpoise,Inland_WA,4.85E+14,-1.23E+14,NA,NA,-1.23E+14,4.85E+14
San Juan,NW-2008-1080553,2008-SJ031,,08NWR07045,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Amy Traxler,Whale Museum,San Juan County Marine Mammal Stranding Network,NW,United States,Stuart Island,WA,Pacific Ocean,NW Stuart private beach,48.68400,dd.dddd,estimate,-123.2340,dd.dddd,estimate,Map,N,CBD,2008-JUL-29,2008,JUL,29,Beach or Land,NA,NA,Fresh Dead,N,2008-AUG-01,2008,AUG,1,Fresh Dead,N,Male,Calf,81,cm,actual,NA,NA,2008-AUG-01,2008,AUG,1,J Gaydos,NA,Harbor porpoise,Inland_WA,4.85E+14,-1.23E+14,0.319798562,-0.202563437,-123234,48684
Whatcom,NW-2008-1082885,08Pp10SepWH-09,,08NWR09019,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,M. Brown Carrasco,Whatcom Marine Mammal Stranding Network,Whatcom Marine Mammal Stranding Network,NW,United States,Ferndale,WA,Puget Sound,"Rosario Straight, Neptune Beach, just north of Sucia Drive",48.81903,dd.dddd,estimate,-122.7095,dd.dddd,estimate,Internet,N,CBD,2008-SEP-10,2008,SEP,10,Beach or Land,NA,NA,Fresh Dead,Y,NA,NA,NA,NA,NA,N,Unid,Calf,36,in,estimate,0,lb,NA,NA,NA,NA,NA,was taken out with the tide before a visual exam could be performed.,Harbor porpoise,Inland_WA,4.88E+13,-12255363235,0.15585065,0.008949174,-122709483,48819031
Whatcom,NW-2008-1081445,08Pp02AprWH-07,,08NWR04024,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Central Puget Sound Mammal Stranding,NMFS West Coast Region - Seattle,NMFS West Coast Region - Seattle,NW,United States,Bellingham,WA,Puget Sound,"Bellingham Bay, Cliffside Beach, just south east of Cliffside Dr.",48.77650,dd.dddd,actual,-122.5399,dd.dddd,actual,GPS,N,CBD,2008-APR-02,2008,APR,2,NA,NA,NA,Advanced Decomposition,N,2008-APR-02,2008,APR,2,Advanced Decomposition,N,Female,Adult,70,in,actual,150,lb,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,4.88E+13,-12255363235,-0.23363235,NA,-12232,4.88E+13
Whatcom,NW-2008-1081447,08Pp15AprWH-08,,08NWR04025,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Central Puget Sound Mammal Stranding,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,United States,Blaine,WA,Puget Sound,At the end of Shintafter Rd. 200 yards into the the shallows of the bay.,48.96370,dd.dddd,actual,-122.7643,dd.dddd,actual,GPS,N,CBD,2008-APR-15,2008,APR,15,NA,NA,NA,Fresh Dead,Y,2008-APR-15,2008,APR,15,Fresh Dead,N,Unid,Adult,67,in,actual,175,lb,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,4.88E+13,-12255363235,-0.10363235,NA,-12245,4.88E+13
Clallam,NW-2009-1103141,09-CM-032,,09NWR08042,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Olympic Nat. Park,Olympic National Park,Olympic National Park,NW,United States,Ozette,WA,Pacific Ocean,Sand Point,48.12531,dd.dddd,estimate,-124.7102,dd.dddd,estimate,Internet,N,CBD,2009-AUG-11,2009,AUG,11,Beach or Land,NA,NA,Moderate Decomposition,Y,NA,NA,NA,NA,NA,N,Unid,Adult,60,in,estimate,150,lb,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,4.82E+14,-1.24E+14,0.513674299,0.049687086,-1247102,48125311
Clallam,NW-2009-1098687,MKH-Pp-09-1,,09NWR08026,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,United States,Vista,WA,Pacific Ocean,Mouth of Hoko,48.56889,dd.dddd,actual,-124.1186,dd.dddd,actual,GPS,N,CBD,2009-AUG-05,2009,AUG,5,NA,NA,NA,Fresh Dead,N,2009-AUG-05,2009,AUG,5,Fresh Dead,N,Unid,Calf,90,cm,estimate,NA,NA,NA,NA,NA,NA,NA,Collected for examination and necropsy at a later date,Harbor porpoise,Inland_WA,4.82E+14,-1.24E+14,-0.077914701,-0.393890914,-124118611,48568889
Clallam,NW-2009-1098691,MKH-Pp-09-2,,09NWR08027,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,United States,Neah Bay,WA,Pacific Ocean,Hobuck Beach,48.55950,dd.dddd,actual,-124.1097,dd.dddd,actual,GPS,N,N,2009-AUG-14,2009,AUG,14,NA,NA,NA,Fresh Dead,N,2009-AUG-14,2009,AUG,14,Fresh Dead,N,Male,Calf,95,cm,estimate,NA,NA,2009-AUG-14,2009,AUG,14,John Scordino,No additional remarks,Harbor porpoise,Inland_WA,4.82E+14,-1.24E+14,-0.086858701,-0.384501914,-124109667,485595
Clallam,NW-2009-1104485,WDFW2009-092,,09NWR08080,Confirmed- Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Adrianne Akmajian,WDFW/MMI,WDFW/MMI,NW,United States,Forks,WA,Pacific Ocean,100 yards south of Hole-in-the-Wall,47.92390,dd.dddd,NA,-124.6401,dd.dddd,NA,Internet/Software,N,CBD,2009-AUG-14,2009,AUG,14,Beach or Land,NA,NA,Moderate Decomposition,Y,NA,NA,NA,NA,Moderate Decomposition,N,Unid,Subadult,130,cm,Estimated,35,kg,NA,NA,NA,NA,NA,"Found on beach ~100 yards south of Hole-in-the-Wall near Rialto Beach, Olympic Coast, WA",Harbor porpoise,Inland_WA,4.82E+14,-1.24E+14,0.443574299,0.251098086,-1246401,479239
Clallam,NW-2009-1099001,09-CM-025,,09NWR08030,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Public,NA,NMFS Alaska Regional Office,NW,United States,NA,WA,Pacific Ocean,Rialto Beach 200 yards south of hole in the wall,47.93485,dd.dddd,NA,-124.6446,dd.dddd,NA,NA,N,CBD,2009-AUG-03,2009,AUG,3,NA,NA,NA,Moderate Decomposition,N,2009-AUG-03,2009,AUG,3,Moderate Decomposition,N,Unid,Unid,48,in,estimate,NA,NA,NA,NA,NA,NA,NA,NA,Harbor porpoise,NA,4.82E+14,-1.24E+14,NA,NA,-1.24E+14,4.82E+14
Grays Harbor,NW-2009-1098989,09-GH-013,,09NWR07037,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Public,NA,NMFS Alaska Regional Office,NW,United States,Queets,WA,Pacific Ocean,North of Tunnel Is.,47.46722,dd.dddd,NA,-124.3478,dd.dddd,NA,NA,N,CBD,2009-JUL-04,2009,JUL,4,NA,NA,NA,Fresh Dead,Y,2009-JUL-04,2009,JUL,4,Fresh Dead,N,Unid,Calf,26,in,estimate,NA,NA,NA,NA,NA,NA,NA,Additional remarks on file with level-A data,Harbor porpoise,WA_Coast,4.71E+14,-1.24E+14,0.191417308,-0.405749603,-124347778,47467222
Grays Harbor,NW-2009-1093953,WDFW2009-026,,09NWR05018,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,United States,Ocean City,WA,Pacific Ocean,1/2 mile north of casino,47.01280,dd.dddd,NA,-124.1730,dd.dddd,NA,Internet/Software,N,CBD,2009-MAY-17,2009,MAY,17,Beach or Land,NA,NA,Fresh Dead,N,NA,NA,NA,NA,Fresh Dead,N,Unid,Subadult,130,cm,Estimated,35,kg,2009-MAY-17,2009,MAY,17,WDFW/MMI,Found dead mostly scavenged on beach.,Harbor porpoise,WA_Coast,4.71E+14,-1.24E+14,0.016639308,0.048672397,-124173,470128
Grays Harbor,NW-2009-1151189,CRC-966,,09NWR08238,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,United States,Grayland,WA,Pacific Ocean,Grayland Beach Rd (1/4 mile N),46.81060,dd.dddd,estimate,-124.1023,dd.dddd,estimate,Internet/Software,N,CBD,2009-AUG-10,2009,AUG,10,Beach or Land,NA,NA,Fresh Dead,N,2009-AUG-10,2009,AUG,10,Fresh Dead,N,Male,Calf,93,cm,actual,16,kg,2009-AUG-11,2009,AUG,11,CRC/WDFW,Brad picked up 10Aug09 and put on ice for JLH and Kelli to pick up at ranger station 11Aug09.,Harbor porpoise,WA_Coast,4.71E+14,-1.24E+14,-0.054060692,0.250872397,-1241023,468106
Grays Harbor,NW-2009-1091693,CRC-925,,09NWR05015,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Beacon Pest Control,Cascadia Research,Cascadia Research,NW,United States,Ocean Shores,WA,Pacific Ocean,Ocean Lake beach approach,46.98400,dd.dddd,NA,-124.1720,dd.dddd,NA,Internet/Software,N,CBD,2009-MAY-27,2009,MAY,27,Beach or Land,NA,NA,Fresh Dead,N,2009-MAY-28,2009,MAY,28,Moderate Decomposition,N,Male,Subadult,141,cm,Actual,0,NA,NA,NA,NA,NA,NA,First seen 25 May; not reported until 27 May. Removed from beach 28 May and kept on ice until taken to NMML freezers on 29 May,Harbor porpoise,WA_Coast,4.71E+14,-1.24E+14,0.015639308,0.077472397,-124172,46984
Grays Harbor,NW-2009-1151152,CRC-964,,09NWR08216,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,United States,Moclips,WA,Pacific Ocean,Moclips beach,47.23610,dd.dddd,estimate,-124.2170,dd.dddd,estimate,Internet/Software,N,Y,2009-AUG-06,2009,AUG,6,Beach or Land,NA,NA,Moderate Decomposition,N,2009-AUG-06,2009,AUG,6,Advanced Decomposition,N,Female,Adult,174,cm,NA,60,kg,2009-AUG-10,2009,AUG,10,CRC,"Dyanna asked Ed and Sheila to pick it up for CRC. Brought to WDFW on Saturday, Aug 7. No ice put on animal until evening of 7 Aug.",Harbor porpoise,WA_Coast,4.71E+14,-1.24E+14,0.060639308,-0.174627603,-124217,472361
Grays Harbor,NW-2009-1091689,CRC-922,,09NWR04018,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,United States,Westport,WA,Pacific Ocean,1/4 mile N of Ocean Ave,46.88800,dd.dddd,NA,-124.1280,dd.dddd,NA,Internet/Software,N,CBD,2009-APR-13,2009,APR,13,Beach or Land,NA,NA,Fresh Dead,N,2009-APR-13,2009,APR,13,Fresh Dead,N,Female,Adult,170,cm,Actual,65,kg,2009-APR-14,2009,APR,14,CRC,Brad picked up and put at ranger station for JLH to come and pick up.,Harbor porpoise,WA_Coast,4.71E+14,-1.24E+14,-0.028360692,0.173472397,-124128,46888
Grays Harbor,NW-2009-1151144,CRC-929,,09NWR07160,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,United States,Moclips,WA,Pacific Ocean,4873 Pacific Ave,47.24100,dd.dddd,actual,-124.2198,dd.dddd,actual,GPS,N,CBD,2009-JUL-05,2009,JUL,5,Beach or Land,NA,NA,Fresh Dead,N,2009-JUL-06,2009,JUL,6,Fresh Dead,N,Male,Subadult,113,cm,actual,20,kg,2009-JUL-06,2009,JUL,6,CRC,washed in with tide evening of July 5th.,Harbor porpoise,WA_Coast,4.71E+14,-1.24E+14,0.063439308,-0.179527603,-1242198,47241
Grays Harbor,CRC-919,CRC-919,,CRC-919,NA,Harbor Porpoise,Phocoena,phocoena,NA,NA,NA,NA,NA,United States,NA,WA,Pacific Ocean,NA,46.93300,dd.dddd,NA,-124.1750,dd.dddd,NA,NA,NA,CBD,17-Feb-09,2009,NA,NA,5,ft,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,WA_Coast,4.71E+14,-1.24E+14,0.018639308,0.128472397,-124175,46933
Grays Harbor,NW-2009-1151031,CRC-1007,,09NWR09220,Confirmed- Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,United States,Westport,WA,Pacific Ocean,"Westhaven Park, Westport",46.89480,dd.dddd,estimate,-124.1220,dd.dddd,estimate,Internet/Software,N,CBD,2009-SEP-09,2009,SEP,9,Beach or Land,NA,NA,Moderate Decomposition,Y,2009-SEP-05,2009,SEP,5,Moderate Decomposition,N,Unid,Adult,150,cm,estimate,NA,NA,NA,NA,NA,NA,NA,"Park rangers looked for it on Saturday, but could not find. Examined by photos only.",Harbor porpoise,WA_Coast,4.71E+14,-1.24E+14,-0.034360692,0.166672397,-124122,468948
Grays Harbor,NW-2009-1151032,CRC-1008,,09NWR09221,Confirmed- Minimum,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,United States,Ocean Shores,WA,Pacific Ocean,in front of Quinault Casino,47.03910,dd.dddd,estimate,-124.1736,dd.dddd,estimate,Internet/Software,N,CBD,2009-SEP-03,2009,SEP,3,Beach or Land,NA,NA,Fresh Dead,Y,2009-SEP-03,2009,SEP,3,Fresh Dead,N,Unid,Unid,120,cm,estimate,NA,NA,NA,NA,NA,NA,NA,Ed went to find porpoise after high tide but found nothing at the location- washed out? Only descritpion is from responding party.,Harbor porpoise,WA_Coast,4.71E+14,-1.24E+14,0.017239308,0.022372397,-1241736,470391
Grays Harbor,NW-2009-1091687,CRC-921,,09NWR04017,Confirmed- Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,NA,Cascadia Research,Cascadia Research,NW,United States,Westport,WA,Pacific Ocean,1.5 miles S of Bonge Ave,46.84600,dd.dddd,NA,-124.1110,dd.dddd,NA,Internet/Software,N,CBD,2009-APR-10,2009,APR,10,Beach or Land,NA,NA,Moderate Decomposition,Y,2009-APR-10,2009,APR,10,Moderate Decomposition,N,Unid,Adult,5,ft,Estimated,0,NA,NA,NA,NA,NA,NA,"brad reported late in the day, wasn't sure it was still there--didn't think many organs left to recover. No response.",Harbor porpoise,WA_Coast,4.71E+14,-1.24E+14,-0.045360692,0.215472397,-124111,46846
Grays Harbor,NW-2009-1151265,CRC-957,,09NWR07191,Confirmed- Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,United States,Ocean Shores,WA,Pacific Ocean,1 mi N of Illahee Beach access,47.02160,dd.dddd,estimate,-124.1725,dd.dddd,estimate,Internet/Software,N,CBD,2009-JUL-26,2009,JUL,26,Beach or Land,NA,NA,Condition Unknown,Y,2009-JUL-27,2009,JUL,27,NA,N,Unid,Unid,120,cm,estimate,NA,NA,NA,NA,NA,NA,NA,"Was reported to be at mid-tide line on morning of 26 July. Ed went out on 27 July to see if carcass was still there, but did not find it.",Harbor porpoise,WA_Coast,4.71E+14,-1.24E+14,0.016139308,0.039872397,-1241725,470216
Grays Harbor,NW-2009-1091683,CRC-918,,09NWR01029,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,United States,Ocean City,WA,Pacific Ocean,just south of Ocean City beach access,47.06880,dd.dddd,NA,-124.1776,dd.dddd,NA,GPS,N,CBD,2009-JAN-15,2009,JAN,15,Beach or Land,NA,NA,Advanced Decomposition,N,2009-JAN-15,2009,JAN,15,Advanced Decomposition,N,Male,Adult,146,cm,Actual,0,NA,NA,NA,NA,NA,NA,found ~100m from CRC-917,Harbor porpoise,WA_Coast,4.71E+14,-1.24E+14,0.021239308,-0.007327603,-1241776,470688
Grays Harbor,NW-2009-1091681,CRC-917,,09NWR01028,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,United States,Ocean City,WA,Pacific Ocean,Just S of ocean city beach access,47.06940,dd.dddd,NA,-125.1775,dd.dddd,NA,GPS,N,Y,2009-JAN-15,2009,JAN,15,Beach or Land,NA,NA,Fresh Dead,N,2009-JAN-15,2009,JAN,15,Fresh Dead,N,Male,Adult,141,cm,Actual,0,NA,2009-JAN-15,2009,JAN,15,CRC,"Found by BPC while driving the beach. Approximately 100m from another porpoise of similar size (CRC-918). Other porpoise significantly more decomposed, so likely did not strand at the same time.",Harbor porpoise,WA_Coast,4.71E+14,-1.24E+14,1.021139308,-0.007927603,-1251775,470694
Island,NW-2009-1087037,09Pp06FebCI-01,,09NWR02003,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Sandy Dubpernell,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,United States,Camano Island,WA,Puget Sound,"Elger Bay, neighborhood beach",48.12740,dd.dddd,estimate,-122.4752,dd.dddd,estimate,Map,N,CBD,2009-FEB-06,2009,FEB,6,Beach or Land,NA,NA,Advanced Decomposition,N,2009-FEB-06,2009,FEB,6,Advanced Decomposition,N,Unid,Calf,77,cm,actual,20,lb,NA,NA,NA,NA,NA,"Dennis and Robin of Elger Bay, who reported a sea lion, also pointed out this small porpoise. They said they had seen it within the last week.* It was within 20"" of the sea lion that had been necropsied in November of 2008 (head removed). Near the neighborhood access for Elger Bay. The stranding network decided it was too scavenged to collect for further study. The underbelly was a light color. The back and tail looked to be a dark gray. The carcass was about 30 inches long * per Call Log records, the CPSMMSN received a report of a dead harbor porpoise at Elger Bay on January 2, 2009. It was dark when the call came in. Responder unable to find it the next day.Possibly the same animal??",Harbor porpoise,Inland_WA,4.81E+14,-1.95E+14,-1823.651153,-0.633560767,-1.95E+14,4.81E+14
Island,NW-2009-1099089,09Pp01SepWI-02,,09NWR09019,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Sandy Dubpernell,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,United States,Whidbey Island,WA,Puget Sound,"Strait of San de Fuca, Rocky Point, NASWI",48.19800,dd.dddd,estimate,-122.3540,dd.dddd,estimate,Map,N,CBD,2009-SEP-01,2009,SEP,1,Beach or Land,NA,NA,Moderate Decomposition,N,2009-SEP-01,2009,SEP,1,Moderate Decomposition,N,Male,Calf,96.3,cm,actual,17.2,lb,2009-SEP-20,2009,SEP,20,Noeman et al,"The carcass was first reported on 31 Aug by Security at NASWI. Initial response 8/31 - no animal found.Found animal on second response on 1 Sept. It had moved up the beach in the tides. Carcass bagged and frozen for necropsy. No photos taken for level A. Necropsy Sept. 20, 2009. Norman et al. Code 3 carcass. Left side of head and shoulder area extensively scavenged, Dorsal fin folded over. Left pectoral fin hanging by small amount of tissue. Teeth unerupted. Generalized cracking and scaling of skin. Body condition fair. Blubber: dorsal 5mm, lateral 5mm, ventral 6 mm. Stomach empty except for a small whitish object (unidentified). Complete set of tissues taken for further analysis. Blubber samples frozen in foil for possible test for dioxins/furans. Photos of necropsy at CPSMMSN archives No significant findings COD: unknown at this time. Necropsy findings: Based on the apparent age of this animal (neonate)), the accumulation of aspirated squames and meconium throughout the lungs is suggestive of a fetal distress type syndrome, possibly related to dystochia, premature placental detachment or some other process. Failure to suckle may be related to a nonviable neonate, maternal neglect or loss. The mild to moderate depletion of copper, manganese and zinc and profound lack of vitamin A within the liver further substantiates in utero malnutrition.",Harbor porpoise,Inland_WA,4.81E+14,-1.95E+14,-1823.573153,-0.051560767,-1.95E+14,48198
