"","Cetacean.Common.Name","County","Region","HI","State","Latitude","Longitude","lat_corr","long_corr","Water.Body","Body.of.Water","Year.of.Observation","Age.Class","Sex","Findings.of.Human.Interaction","Month.of.Observation","Season"
"20","Harbor porpoise","Kitsap","NW","Confirmed","WA",47.8353,-122.6266,47.8353,-122.6266,"Inland_WA","Hood Canal",2015,"Adult","Male","Y","OCT","Fall"
"21","Harbor porpoise","Kitsap","NW","Confirmed","WA",47.856,-122.607,47.856,-122.607,"Inland_WA","Hood Canal",2013,"Adult","Unid","Y","OCT","Fall"
"22","Harbor porpoise","Kitsap","NW","Confirmed","WA",47.811,-122.4832,47.811,-122.4832,"Inland_WA","Puget Sound",2009,"Calf","Female","Y","AUG","Summer"
"23","Harbor porpoise","Kitsap","NW","Confirmed","WA",47.734,-122.505,47.734,-122.505,"Inland_WA","Puget Sound",2018,"Adult","Female","Y","OCT","Fall"
"24","Harbor porpoise","Kitsap","NW","Confirmed","WA",47.5793,-122.6463,47.5793,-122.6463,"Inland_WA","Puget Sound",2015,"Adult","Male","Y","NOV","Fall"
"25","Harbor porpoise","Kitsap","NW","Confirmed","WA",47.7803,-122.4828,47.7803,-122.4828,"Inland_WA","Hood Canal",2009,"Adult","Female","Y","OCT","Fall"
"26","Harbor porpoise","Kitsap","NW","Confirmed","WA",47.5793,-122.6463,47.5793,-122.6463,"Inland_WA","Puget Sound",2015,"Adult","Female","Y","NOV","Fall"
"27","Harbor porpoise","Kitsap","NW","Confirmed","WA",47.746,-122.5261,47.746,-122.5261,"Inland_WA","Puget Sound",2012,"Calf","Female","Y","NOV","Fall"
"28","Harbor porpoise","Kitsap","NW","Confirmed","WA",47.7925,-122.487,47.7925,-122.487,"Inland_WA","Puget Sound",2012,"Adult","Female","Y","OCT","Fall"
"29","Harbor porpoise","Kitsap","NW","Probable","WA",47.6872,-122.506,47.6872,-122.506,"Inland_WA","Puget Sound",2018,"Subadult","Unid","CBD","OCT","Fall"
"30","Harbor porpoise","Kitsap","NW","Confirmed","WA",47.5793,-122.6463,47.5793,-122.6463,"Inland_WA","Puget Sound",2015,"Adult","Female","Y","NOV","Fall"
"31","Harbor porpoise","Kitsap","NW","Confirmed","WA",47.6562,-122.5107,47.6562,-122.5107,"Inland_WA","Puget Sound",2017,"Subadult","Male","Y","OCT","Fall"
"32","Harbor porpoise","Kitsap","NW","Possible","WA",47.6631,-122.5007,47.6631,-122.5007,"Inland_WA","Puget Sound",2012,"Calf","Male","CBD","OCT","Fall"
"33","Harbor porpoise","Kitsap","NW","Confirmed","WA",47.7475,-122.5403,47.7475,-122.5403,"Inland_WA","Puget Sound",2018,"Subadult","Female","Y","OCT","Fall"
"34","Harbor porpoise","Kitsap","NW","Possible","WA",47.6545,-122.514,47.6545,-122.514,"Inland_WA","Puget Sound",2014,"Adult","Unid","Y","JAN","Winter"
"35","Harbor porpoise","Kitsap","NW","Confirmed","WA",47.7836,-122.4896,47.7836,-122.4896,"Inland_WA","Puget Sound",2016,"Calf","Male","Y","OCT","Fall"
"36","Harbor porpoise","Kitsap","NW","Confirmed","WA",47.4144,-122.5431,47.4144,-122.5431,"Inland_WA","Puget Sound",2016,"Calf","Male","CBD","SEP","Fall"
"37","Harbor porpoise","Mason","NW","Confirmed","WA",47.2516,-122.8698,47.2516,-122.8698,"Inland_WA","Puget Sound",2018,"Yearling","Female","Y","DEC","Winter"
"38","Harbor porpoise","Pacific","NW","Confirmed","WA",46.39898,-124.0643,46.39898,-124.0643,"WA_Coast","Pacific Ocean",2019,"Adult","Female","Y","AUG","Summer"
"39","Harbor porpoise","Pacific","NW","Confirmed","WA",46.48818,-124.0607,46.48818,-124.0607,"WA_Coast","Pacific Ocean",2019,"Subadult","Male","Y","AUG","Summer"
"40","Harbor porpoise","Pacific","NW","Confirmed","WA",46.34477,-124.0658,46.34477,-124.0658,"WA_Coast","Pacific Ocean",2019,"Subadult","Male","Y","MAR","Spring"
"41","Harbor porpoise","Pierce","NW","Probable","WA",47.259,-122.6537,47.259,-122.6537,"Inland_WA","Puget Sound",2019,"Subadult","Female","CBD","SEP","Fall"
"42","Harbor porpoise","Pierce","NW","Confirmed","WA",47.3381,-122.6613,47.3381,-122.6613,"Inland_WA","Puget Sound",2018,"Adult","Female","Y","APR","Spring"
"43","Harbor porpoise","Pierce","NW","Confirmed","WA",47.3805,-122.6376,47.3805,-122.6376,"Inland_WA","Puget Sound",2019,"Subadult","Female","Y","OCT","Fall"
"44","Harbor porpoise","Pierce","NW","Confirmed","WA",47.367,-122.6783,47.367,-122.6783,"Inland_WA","Henderson Bay",2007,"Calf","Male","Y","OCT","Fall"
"45","Harbor porpoise","Pierce","NW","Confirmed","WA",47.3669,-122.6788,47.3669,-122.6788,"Inland_WA","Henderson Bay",2007,"Adult","Female","Y","OCT","Fall"
"46","Harbor porpoise","Pierce","NW","Probable","WA",47.3831,-122.6295,47.3831,-122.6295,"Inland_WA","Puget Sound",2017,"Calf","Male","Y","AUG","Summer"
"47","Harbor porpoise","San Juan","NW","Confirmed","WA",48.6926,-122.9502,48.6926,-122.9502,"Inland_WA","Pacific Ocean",2011,"Yearling","Male","Y","SEP","Fall"
"48","Harbor porpoise","San Juan","NW","Confirmed","WA",48.5925,-123.174,48.5925,-123.174,"Inland_WA","Mosquito Pass",2006,"Adult","Male","Y","SEP","Fall"
"49","Harbor porpoise","San Juan","NW","Confirmed","WA",48.5196,-123.01,48.5196,-123.01,"Inland_WA","Puget Sound",2003,"Subadult","Unid","Y","MAY","Spring"
"50","Harbor porpoise","San Juan","NW","Confirmed","WA",48.61255,-123.0977,48.61255,-123.0977,"Inland_WA","Pacific Ocean",2016,"Adult","Female","CBD","DEC","Winter"
"51","Harbor porpoise","Whatcom","NW","Confirmed","WA",48.7539,-122.5064,48.7539,-122.5064,"Inland_WA","Squalicum Harbor",2000,"Unid","Female","Y","AUG","Summer"
